"","id","num.picture","task1","task2","task3","latitude","longitude","gender","educ","age"
"172","1564668740_endBrno9e9772ffcb1d86f137182a44396e9148.csv",135,1,2,3,49.2156543080508,16.5981037187566,0,2,55
"173","1564668740_endBrno9e9772ffcb1d86f137182a44396e9148.csv",241,1,2,3,49.2207662029522,16.6368744581689,0,2,55
"174","1564668740_endBrno9e9772ffcb1d86f137182a44396e9148.csv",920,1,2,3,49.2246872501057,16.5965264765415,0,2,55
"175","1564668740_endBrno9e9772ffcb1d86f137182a44396e9148.csv",1173,1,2,2,49.2251855064468,16.6249215781616,0,2,55
"176","1564668740_endBrno9e9772ffcb1d86f137182a44396e9148.csv",1228,1,2,2,49.2050462007961,16.5940765415744,0,2,55
"177","1564668740_endBrno9e9772ffcb1d86f137182a44396e9148.csv",1231,1,3,3,49.181839119691,16.6217749460139,0,2,55
"178","1564668740_endBrno9e9772ffcb1d86f137182a44396e9148.csv",727,1,2,3,49.1964225028517,16.6468949532702,0,2,55
"179","1564668740_endBrno9e9772ffcb1d86f137182a44396e9148.csv",466,1,2,2,49.2249943765683,16.5976464738795,0,2,55
"180","1564668740_endBrno9e9772ffcb1d86f137182a44396e9148.csv",656,1,4,3,49.1909582218577,16.622150616174,0,2,55
"181","1564669424_endBrno233d908a82ea039a0c96e0ddccbfdaec.csv",984,0,6,1,49.2185630963533,16.5529138260108,1,1,26
"182","1564669424_endBrno233d908a82ea039a0c96e0ddccbfdaec.csv",1029,1,4,3,49.2270231095167,16.6549651195232,1,1,26
"183","1564669424_endBrno233d908a82ea039a0c96e0ddccbfdaec.csv",134,1,1,3,49.2282391045098,16.5732689553021,1,1,26
"184","1564669424_endBrno233d908a82ea039a0c96e0ddccbfdaec.csv",362,1,2,1,49.218834181002,16.5814590697128,1,1,26
"185","1564669424_endBrno233d908a82ea039a0c96e0ddccbfdaec.csv",951,1,6,5,49.168888857712,16.567528225239,1,1,26
"186","1564669424_endBrno233d908a82ea039a0c96e0ddccbfdaec.csv",169,1,2,1,49.199790054185,16.5803076142845,1,1,26
"187","1564669424_endBrno233d908a82ea039a0c96e0ddccbfdaec.csv",892,1,1,3,49.1609481015048,16.5930030941525,1,1,26
"188","1564669424_endBrno233d908a82ea039a0c96e0ddccbfdaec.csv",1161,1,2,1,49.1851314928692,16.6084390627624,1,1,26
"189","1564669424_endBrno233d908a82ea039a0c96e0ddccbfdaec.csv",1085,1,2,1,49.1609375142931,16.627533299557,1,1,26
"190","1564669424_endBrno233d908a82ea039a0c96e0ddccbfdaec.csv",1096,1,2,1,49.2132634243626,16.6295624523243,1,1,26
"191","1564669424_endBrno233d908a82ea039a0c96e0ddccbfdaec.csv",682,1,4,5,49.2114066181766,16.6604147658646,1,1,26
"192","1564669424_endBrno233d908a82ea039a0c96e0ddccbfdaec.csv",689,0,6,1,49.2130954415483,16.623929897821,1,1,26
"193","1564669424_endBrno233d908a82ea039a0c96e0ddccbfdaec.csv",238,1,4,3,49.1959949184325,16.6416351175367,1,1,26
"194","1564669424_endBrno233d908a82ea039a0c96e0ddccbfdaec.csv",529,1,6,1,49.209015975363,16.5890740580329,1,1,26
"195","1564669424_endBrno233d908a82ea039a0c96e0ddccbfdaec.csv",839,1,6,4,49.20955175084,16.5947476013686,1,1,26
"196","1564671114_endBrnod4518d7589627249038e15765ff06e37.csv",1171,1,4,2,49.2268653940372,16.6536746131335,0,2,31
"197","1564671114_endBrnod4518d7589627249038e15765ff06e37.csv",741,1,5,1,49.2201760947644,16.6259247681068,0,2,31
"198","1564671114_endBrnod4518d7589627249038e15765ff06e37.csv",167,1,4,2,49.2302169014638,16.6039100222482,0,2,31
"199","1564671114_endBrnod4518d7589627249038e15765ff06e37.csv",588,1,4,4,49.205260566927,16.570682131989,0,2,31
"200","1564671114_endBrnod4518d7589627249038e15765ff06e37.csv",284,1,5,2,49.2112198597989,16.6132719008469,0,2,31
"201","1564671114_endBrnod4518d7589627249038e15765ff06e37.csv",846,1,4,4,49.2286484756508,16.6042564074612,0,2,31
"202","1564671114_endBrnod4518d7589627249038e15765ff06e37.csv",1026,1,6,1,49.2105407345291,16.6566577872672,0,2,31
"203","1564671114_endBrnod4518d7589627249038e15765ff06e37.csv",614,1,3,2,49.2306010989367,16.5911024915042,0,2,31
"204","1564671114_endBrnod4518d7589627249038e15765ff06e37.csv",379,1,3,0,49.2035613669442,16.5828147954663,0,2,31
"205","1564671114_endBrnod4518d7589627249038e15765ff06e37.csv",706,1,4,5,49.2042831010733,16.6494390317631,0,2,31
"206","1564671114_endBrnod4518d7589627249038e15765ff06e37.csv",640,1,5,1,49.2040974855703,16.5879943163049,0,2,31
"207","1564671114_endBrnod4518d7589627249038e15765ff06e37.csv",672,1,1,1,49.1759112788465,16.5535090558224,0,2,31
"208","1564671114_endBrnod4518d7589627249038e15765ff06e37.csv",290,1,1,4,49.1820419703871,16.616252858167,0,2,31
"209","1564671114_endBrnod4518d7589627249038e15765ff06e37.csv",681,1,6,0,49.2278838490776,16.6405874024312,0,2,31
